"Timestamp","My role at university is:","1. Do you read emails that you receive from the Center for Civic Engagement (CCE)?","2. I find the next words attractive in the email title:","3. The optimal word count for an email title is:","4. Do you find emojis in an email title appropriate?","5. The optimal word count for an email body is:","6. Do you find colored parts of text in an email body appropriate?","7. The optimal link placement in an email is:","8. I'd prefer to receive the information and materials:","1.1 About which specific topics do you read emails from Center for Civic Engagement (CCE)?","8.1 Where would you like to see images/posters within the email body?","9. I prefer to receive event-reminders:","10. A good email should have:","11. Rate your agreement with the following statements regarding emails from the Center for Civic Engagement (CCE): [Important deadlines are clearly highlighted]","11. Rate your agreement with the following statements regarding emails from the Center for Civic Engagement (CCE): [The formatting makes information easy to read]","11. Rate your agreement with the following statements regarding emails from the Center for Civic Engagement (CCE): [I find emails from CCE engaging]","11. Rate your agreement with the following statements regarding emails from the Center for Civic Engagement (CCE): [I don't miss out on any valuable opportunities (volunteering, internships, etc.)]","11. Rate your agreement with the following statements regarding emails from the Center for Civic Engagement (CCE): [Overall, I am satisfied with the current mailing system]","12. If you have any suggestions, please write them down:
"
"2026/03/22 9:07:06 PM GMT+6","Student","Most of them","Event;Internship;Opportunity;Volunteering;Job;Invitation","From 3 to 5 words","No","Less than 50 words","Yeah, I like this format","In the middle","With attached files (posters, photos, and etc.)","","","A week before the event","Clear subject line","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",""
"2026/03/22 9:07:52 PM GMT+6","Student","Most of them","Event;Internship;Volunteering;Job","From 7 to 10 words","No","From 101 to 150 words","It's alright","At the end","Within the email body","","In the middle","A few days before the event (from 3 to 5 days)","Clear subject line;Registration button;Relevant attachments/images","Strongly Agree","Agree","Agree","Disagree","Agree",""
"2026/03/22 9:08:28 PM GMT+6","Student","Most of them","Event;Internship;Opportunity;Volunteering;Job;Invitation","From 5 to 7 words","No","From 101 to 150 words","It's alright","At the end","With attached files (posters, photos, and etc.)","","","A week before the event;A few days before the event (from 3 to 5 days)","Clear subject line;Registration button;Contact information of the sender;Relevant attachments/images","Strongly Agree","Agree","Agree","Disagree","Agree",""
"2026/03/22 10:07:12 PM GMT+6","Student","Most of them","Internship;Opportunity;Job","From 3 to 5 words","No","From 101 to 150 words","Yeah, I like this format","At the beginning","With attached files (posters, photos, and etc.)","","","A week before the event","Clear subject line;Registration button;Contact information of the sender;Relevant attachments/images","Agree","Agree","Disagree","Strongly Agree","Disagree","Thanks "
"2026/03/22 10:07:19 PM GMT+6","Student","Sometimes","Event;Internship;Opportunity;Job","From 3 to 5 words","No","From 50 to 100 words","It's alright","At the end","With attached files (posters, photos, and etc.)","","","A week before the event","Clear subject line;Registration button;Contact information of the sender;Relevant attachments/images","Agree","Agree","Agree","Agree","Agree","."
"2026/03/22 10:26:03 PM GMT+6","Student","Only specific ones","Event;Internship;Opportunity;Volunteering;Job","From 3 to 5 words","No","From 50 to 100 words","Nope, it distracts me","At the end","Within the email body","Volunteering;Internships;Upcoming events;Partnership news","At the end","A week before the event;A day before the event","Clear subject line;Registration button;Contact information of the sender;Relevant attachments/images","Agree","Agree","Disagree","Disagree","Agree",""
"2026/03/22 10:51:16 PM GMT+6","Student","All of them","Opportunity","From 5 to 7 words","Yes","Less than 50 words","Nope, it distracts me","At the beginning","With attached files (posters, photos, and etc.)","","","A few days before the event (from 3 to 5 days)","Registration button","Agree","Disagree","Disagree","Disagree","Disagree",""
"2026/03/23 9:34:01 AM GMT+6","Student","None of them","None","From 3 to 5 words","No","Less than 50 words","It's alright","At the end","With attached files (posters, photos, and etc.)","","","A week before the event;A few days before the event (from 3 to 5 days)","Clear subject line;Registration button;Contact information of the sender;Relevant attachments/images","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree",""
"2026/03/24 8:23:44 PM GMT+6","Professor","Most of them","Event;Opportunity;Invitation","From 3 to 5 words","No","Less than 50 words","It's alright","At the end","With attached files (posters, photos, and etc.)","","","A week before the event;A few days before the event (from 3 to 5 days)","Clear subject line;Registration button;Contact information of the sender;Relevant attachments/images","Agree","Agree","Agree","Disagree","Agree",""
"2026/03/25 1:20:06 PM GMT+6","Student","Sometimes","Event;Volunteering;Job","From 7 to 10 words","Yes","From 50 to 100 words","It's alright","In the middle","With attached files (posters, photos, and etc.)","","","A week before the event","Clear subject line","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Not"
"2026/03/25 1:20:25 PM GMT+6","Student","Sometimes","Event;Internship;Volunteering","From 5 to 7 words","Yes","From 101 to 150 words","It's alright","At the end","With attached files (posters, photos, and etc.)","","","A week before the event;A day before the event","Clear subject line;Registration button;Contact information of the sender;Relevant attachments/images","Agree","Agree","Agree","Disagree","Agree",""
"2026/03/25 1:20:34 PM GMT+6","Student","Sometimes","Internship;Opportunity;Job","From 3 to 5 words","Yes","From 50 to 100 words","It's alright","At the end","With attached files (posters, photos, and etc.)","","","A few days before the event (from 3 to 5 days);A day before the event;A few hours before the event (from 1 to 6 hours)","Clear subject line;Registration button;Contact information of the sender;Relevant attachments/images","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Agree",""
"2026/03/25 1:20:52 PM GMT+6","Student","Most of them","Event;Invitation;Newsletter","From 5 to 7 words","No","From 50 to 100 words","Nope, it distracts me","At the end","Within the email body","","At the end","A day before the event","Registration button","Agree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree",""
"2026/03/25 1:21:24 PM GMT+6","Student","None of them","Internship;Opportunity;Invitation","From 3 to 5 words","Yes","From 101 to 150 words","Yeah, I like this format","In the middle","With attached files (posters, photos, and etc.)","","","A few days before the event (from 3 to 5 days);A few hours before the event (from 1 to 6 hours)","Clear subject line;Registration button;Contact information of the sender;Relevant attachments/images","Strongly Agree","Strongly Agree","Disagree","Agree","Strongly Disagree","The emails just blend together. It is honestly impossible to actually find something one is interested in from the giant pile of other miscellaneous emails. Otherwise, the email structure itself is actually quite engaging."
"2026/03/25 1:36:55 PM GMT+6","Student","Sometimes","Event;Invitation","From 5 to 7 words","No","Less than 50 words","It's alright","At the end","Within the email body","","At the end","A few days before the event (from 3 to 5 days)","Clear subject line;Registration button;Contact information of the sender;Relevant attachments/images","Strongly Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree",""
"2026/03/25 1:42:45 PM GMT+6","Student","Sometimes","Event;Invitation","From 3 to 5 words","No","From 101 to 150 words","Nope, it distracts me","At the end","Without any images","","","A week before the event;A few days before the event (from 3 to 5 days)","Clear subject line;Registration button;Contact information of the sender","Agree","Disagree","Strongly Disagree","Agree","Disagree",""
"2026/03/25 2:07:55 PM GMT+6","Professor","None of them","Event","From 3 to 5 words","No","From 50 to 100 words","It's alright","At the end","With attached files (posters, photos, and etc.)","","","A week before the event","Clear subject line","Agree","Agree","Disagree","Disagree","Agree",""
"2026/03/25 2:17:59 PM GMT+6","Staff","Most of them","Event;Opportunity;Job;Invitation;Newsletter","From 5 to 7 words","Yes","Less than 50 words","It's alright","In the part with links only","With attached files (posters, photos, and etc.)","","","A week before the event;A few days before the event (from 3 to 5 days)","Clear subject line;Registration button;Contact information of the sender;Relevant attachments/images;Follow C.R.A.P. rules and Mayer's principles","Agree","Strongly Disagree","Agree","Disagree","Strongly Disagree","We are facing consistent and serious challenges with visual literacy skills across the campus."
"2026/03/25 2:47:52 PM GMT+6","Professor","All of them","Event;Internship;Volunteering;Invitation;Newsletter","From 5 to 7 words","No","From 101 to 150 words","It's alright","At the end","Within the email body","","At the end","A day before the event","Clear subject line;Registration button","Agree","Agree","Agree","Agree","Agree",""
"2026/03/25 2:54:58 PM GMT+6","Student","Most of them","Event;Opportunity;Volunteering","From 5 to 7 words","No","From 101 to 150 words","Yeah, I like this format","At the beginning","With attached files (posters, photos, and etc.)","","","A week before the event","Clear subject line;Contact information of the sender","Disagree","Agree","Agree","Strongly Disagree","Disagree",""
"2026/03/25 3:45:46 PM GMT+6","Student","Sometimes","Event;Internship;Job;Invitation","From 5 to 7 words","No","From 50 to 100 words","Yeah, I like this format","In the part with links only","With attached files (posters, photos, and etc.)","","","A week before the event;A day before the event","Clear subject line;Registration button;Contact information of the sender;Relevant attachments/images","Strongly Agree","Agree","Disagree","Disagree","Agree","none"
"2026/03/25 4:23:45 PM GMT+6","Staff","Most of them","Event;Opportunity;Invitation","From 5 to 7 words","No","From 50 to 100 words","It's alright","At the end","With attached files (posters, photos, and etc.)","","","A few hours before the event (from 1 to 6 hours)","Clear subject line;Registration button;Contact information of the sender;Relevant attachments/images;Be brief","Strongly Agree","Agree","Strongly Agree","Disagree","Strongly Agree","I'd like to receive emails with short colorful  highlights. Sometimes there are 2-3 different colors, highlights. It's difficult for eyes"
"2026/03/25 7:30:27 PM GMT+6","Student","Most of them","Internship;Job","From 3 to 5 words","Yes","From 50 to 100 words","It's alright","At the beginning","Within the email body","","In the middle","A week before the event;A few days before the event (from 3 to 5 days)","Clear subject line;Registration button;Relevant attachments/images","Strongly Agree","Strongly Agree","Agree","Disagree","Agree","I think there should be an opportunity to unsubscribe since not all students are interested. Also, the follow-up emails must be sent only to those who register, since otherwise it would just add-up to a massive volume of emails students receive every day. "
"2026/03/25 11:17:57 PM GMT+6","Student","Most of them","Event;Internship;Opportunity;Volunteering;Job;Invitation","From 3 to 5 words","No","From 101 to 150 words","It's alright","At the end","Within the email body","","In the middle","A week before the event;A few days before the event (from 3 to 5 days);A day before the event","Clear subject line;Registration button;Contact information of the sender;Relevant attachments/images","Strongly Agree","Strongly Agree","Disagree","Agree","Agree",""
"2026/03/26 8:36:38 AM GMT+6","Student","Sometimes","Internship;Opportunity;Job","From 5 to 7 words","Yes","From 101 to 150 words","It's alright","At the end","With attached files (posters, photos, and etc.)","","","A week before the event;A few days before the event (from 3 to 5 days)","Clear subject line;Registration button;Contact information of the sender;Relevant attachments/images","Strongly Agree","Strongly Agree","Agree","Disagree","Agree",""
"2026/03/26 11:24:03 AM GMT+6","Student","Sometimes","Event;Internship;Opportunity;Volunteering;Job","From 5 to 7 words","Yes","From 101 to 150 words","It's alright","At the end","Within the email body","","In the middle","A day before the event","Clear subject line;Registration button;Contact information of the sender;Relevant attachments/images","Agree","Agree","Disagree","Disagree","Agree",""
"2026/03/26 2:43:53 PM GMT+6","Student","Most of them","Internship;Opportunity;Volunteering;Job","From 5 to 7 words","Yes","From 50 to 100 words","Yeah, I like this format","In the part with links only","With attached files (posters, photos, and etc.)","","","A day before the event;A few hours before the event (from 1 to 6 hours)","Clear subject line;Registration button;Contact information of the sender;Relevant attachments/images","Agree","Strongly Agree","Agree","Agree","Strongly Agree",""
"2026/03/27 11:17:43 AM GMT+6","Student","Sometimes","Event;Internship;Opportunity;Job;Invitation;opportunities for international and exchange programs","From 3 to 5 words","Yes","From 50 to 100 words","Nope, it distracts me","At the end","With attached files (posters, photos, and etc.)","","","A few days before the event (from 3 to 5 days);A few hours before the event (from 1 to 6 hours)","Clear subject line;Registration button;Contact information of the sender;Relevant attachments/images","Agree","Agree","Agree","Disagree","Agree",""
"2026/03/28 4:04:10 PM GMT+6","Student","Most of them","Internship;Opportunity;Job","From 3 to 5 words","No","From 50 to 100 words","Yeah, I like this format","In the middle","With attached files (posters, photos, and etc.)","","","A week before the event;A day before the event","Clear subject line;Registration button","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree",""
"2026/03/28 7:13:30 PM GMT+6","Professor","Sometimes","Invitation","From 3 to 5 words","Yes","Less than 50 words","It's alright","At the end","Within the email body","","At the end","A few days before the event (from 3 to 5 days)","Clear subject line;Registration button;Contact information of the sender;Relevant attachments/images","Strongly Agree","Agree","Agree","Disagree","Agree",""
"2026/03/29 4:05:26 PM GMT+6","Student","Only specific ones","Event","From 3 to 5 words","No","From 50 to 100 words","It's alright","At the end","With attached files (posters, photos, and etc.)","Upcoming events","","A day before the event","Clear subject line;Relevant attachments/images","Agree","Agree","Agree","Strongly Disagree","Agree",""
"2026/03/30 7:55:59 PM GMT+6","Student","Sometimes","Event;Internship;Opportunity;Job","From 5 to 7 words","No","From 101 to 150 words","It's alright","At the end","With attached files (posters, photos, and etc.)","","","A week before the event;A few days before the event (from 3 to 5 days)","Clear subject line;Contact information of the sender;Relevant attachments/images","Strongly Agree","Agree","Agree","Disagree","Agree",""
"2026/04/08 11:02:59 AM GMT+6","Professor","All of them","none in particular; they all look the same to me as an FYI thing","From 5 to 7 words","No","Less than 50 words","Nope, it distracts me","In the middle","With attached files (posters, photos, and etc.)","","","A week before the event","Clear subject line","Agree","Agree","Agree","Disagree","Agree",""
